trading_day,index_name,symbol,close_1400
2020-11-02,CSI1000,000852.SH,6519.3999999999996
2020-11-03,CSI1000,000852.SH,6624.6599999999999
2020-11-04,CSI1000,000852.SH,6630.9499999999998
2020-11-05,CSI1000,000852.SH,6747.1400000000003
2020-11-06,CSI1000,000852.SH,6659.5100000000002
2020-11-09,CSI1000,000852.SH,6866.5900000000001
2020-11-10,CSI1000,000852.SH,6763.5500000000002
2020-11-11,CSI1000,000852.SH,6689.3199999999997
2020-11-12,CSI1000,000852.SH,6662.4200000000001
2020-11-13,CSI1000,000852.SH,6652.2799999999997
2020-11-16,CSI1000,000852.SH,6735.8999999999996
2020-11-17,CSI1000,000852.SH,6656.1499999999996
2020-11-18,CSI1000,000852.SH,6678.3800000000001
2020-11-19,CSI1000,000852.SH,6707.9700000000003
2020-11-20,CSI1000,000852.SH,6758.8599999999997
2020-11-23,CSI1000,000852.SH,6826.6899999999996
2020-11-24,CSI1000,000852.SH,6802.4499999999998
2020-11-25,CSI1000,000852.SH,6730.6700000000001
2020-11-26,CSI1000,000852.SH,6642.8699999999999
2020-11-27,CSI1000,000852.SH,6606.3500000000004
2020-11-30,CSI1000,000852.SH,6660.7700000000004
2020-12-01,CSI1000,000852.SH,6702.0200000000004
2020-12-02,CSI1000,000852.SH,6725.8699999999999
2020-12-03,CSI1000,000852.SH,6707.9200000000001
2020-12-04,CSI1000,000852.SH,6750.6999999999998
2020-12-07,CSI1000,000852.SH,6755.8199999999997
2020-12-08,CSI1000,000852.SH,6745.2299999999996
2020-12-09,CSI1000,000852.SH,6651.6300000000001
2020-12-10,CSI1000,000852.SH,6617.4700000000003
2020-12-11,CSI1000,000852.SH,6457.6800000000003
2020-12-14,CSI1000,000852.SH,6535.8800000000001
2020-12-15,CSI1000,000852.SH,6590.29
2020-12-16,CSI1000,000852.SH,6568.04
2020-12-17,CSI1000,000852.SH,6577.8900000000003
2020-12-18,CSI1000,000852.SH,6588.4499999999998
2020-12-21,CSI1000,000852.SH,6688.25
2020-12-22,CSI1000,000852.SH,6623.3800000000001
2020-12-23,CSI1000,000852.SH,6561.0699999999997
2020-12-24,CSI1000,000852.SH,6497.2700000000004
2020-12-25,CSI1000,000852.SH,6552.1599999999999
2020-12-28,CSI1000,000852.SH,6513.3999999999996
2020-12-29,CSI1000,000852.SH,6505.3299999999999
2020-12-30,CSI1000,000852.SH,6528.0500000000002
2020-12-31,CSI1000,000852.SH,6625.0200000000004
2021-01-04,CSI1000,000852.SH,6790.3100000000004
2021-01-05,CSI1000,000852.SH,6796.5600000000004
2021-01-06,CSI1000,000852.SH,6712.6000000000004
2021-01-07,CSI1000,000852.SH,6582.4700000000003
2021-01-08,CSI1000,000852.SH,6567.0799999999999
2021-01-11,CSI1000,000852.SH,6477.6499999999996
2021-01-12,CSI1000,000852.SH,6544.25
2021-01-13,CSI1000,000852.SH,6492.5299999999997
2021-01-14,CSI1000,000852.SH,6547.0900000000001
2021-01-15,CSI1000,000852.SH,6487.5100000000002
2021-01-18,CSI1000,000852.SH,6638.1599999999999
2021-01-19,CSI1000,000852.SH,6629.2299999999996
2021-01-20,CSI1000,000852.SH,6645.1300000000001
