trading_day,index_name,symbol,open_0931,close_0935,close_0950,close_1005,close_1035,close_1500
2023-01-03,CSI1000,000852.SH,6286.8100000000004,6307.0200000000004,6289.1400000000003,6317.3199999999997,6350.0200000000004,6423.6999999999998
2023-01-03,CSI300,000300.SH,3864.8400000000001,3853.8299999999999,3836.29,3844.1300000000001,3860.5999999999999,3887.9000000000001
2023-01-04,CSI1000,000852.SH,6423.4300000000003,6421.7299999999996,6437.0799999999999,6443.3299999999999,6431.9700000000003,6421.2799999999997
2023-01-04,CSI300,000300.SH,3886.25,3880.5100000000002,3887.29,3889.4699999999998,3900.1700000000001,3892.9499999999998
2023-01-05,CSI1000,000852.SH,6427.4499999999998,6416.3199999999997,6432.4700000000003,6456.9399999999996,6466.1800000000003,6485.4700000000003
2023-01-05,CSI300,000300.SH,3913.4899999999998,3923.2399999999998,3940.1900000000001,3939.3800000000001,3944.27,3968.5799999999999
2023-01-06,CSI1000,000852.SH,6482.8800000000001,6494.3100000000004,6516.25,6522.3199999999997,6522.1499999999996,6500.3199999999997
2023-01-06,CSI300,000300.SH,3969.5500000000002,3966.5100000000002,3974.02,3975.54,3973.52,3980.8899999999999
2023-01-09,CSI1000,000852.SH,6523.1400000000003,6531.6099999999997,6540.4899999999998,6554.6199999999999,6548.6499999999996,6535.75
2023-01-09,CSI300,000300.SH,3998.5300000000002,3999.71,3995.5599999999999,4007.27,4014.46,4013.1199999999999
2023-01-10,CSI1000,000852.SH,6541.8199999999997,6512.0900000000001,6516.1999999999998,6537.3299999999999,6528.25,6540.1999999999998
2023-01-10,CSI300,000300.SH,4014.71,4007.46,4008.73,4021.23,4004.79,4017.4699999999998
2023-01-11,CSI1000,000852.SH,6544.5699999999997,6538.6899999999996,6531.0699999999997,6538.8500000000004,6558.8999999999996,6486.8999999999996
2023-01-11,CSI300,000300.SH,4019.8800000000001,4021.1900000000001,4022.3400000000001,4025,4038.0999999999999,4010.0300000000002
