trading_day,index_name,symbol,open_0931,close_0935,close_0950,close_1005,close_1035,close_1500
2020-11-02,CSI1000,000852.SH,6517.4200000000001,6500.96,6520.4300000000003,6508.8100000000004,6499.1000000000004,6513.79
2020-11-02,CSI300,000300.SH,4702.75,4724.0200000000004,4731.0699999999997,4721.6300000000001,4715.4200000000001,4720.8299999999999
2020-11-03,CSI1000,000852.SH,6538.2799999999997,6534.1800000000003,6580.6000000000004,6582.8299999999999,6607.5799999999999,6647.5799999999999
2020-11-03,CSI300,000300.SH,4743.1700000000001,4739.0799999999999,4749.9499999999998,4743.8000000000002,4767.8999999999996,4777.5600000000004
2020-11-04,CSI1000,000852.SH,6652.5799999999999,6652.5799999999999,6643.5600000000004,6637.8999999999996,6610.3299999999999,6632.6800000000003
2020-11-04,CSI300,000300.SH,4781.4499999999998,4784.96,4792.5699999999997,4795.6800000000003,4787.3100000000004,4813.6599999999999
2020-11-05,CSI1000,000852.SH,6685.1999999999998,6694.25,6706.7299999999996,6693.1400000000003,6674.3999999999996,6754.9499999999998
2020-11-05,CSI300,000300.SH,4861.3400000000001,4879.3500000000004,4875.7200000000003,4856.8100000000004,4846.5799999999999,4885.1099999999997
2020-11-06,CSI1000,000852.SH,6771.1800000000003,6735.4799999999996,6725.0200000000004,6705.3500000000004,6689.0799999999999,6688.6599999999999
2020-11-06,CSI300,000300.SH,4897.6300000000001,4870.1599999999999,4877.5699999999997,4881.8299999999999,4878.8299999999999,4885.7200000000003
2020-11-09,CSI1000,000852.SH,6723.4300000000003,6744.5500000000002,6777.3599999999997,6786.79,6797.8400000000001,6851.9799999999996
2020-11-09,CSI300,000300.SH,4918.8599999999997,4944.6999999999998,4943,4947.6800000000003,4951.8100000000004,4981.3500000000004
2020-11-10,CSI1000,000852.SH,6854.6999999999998,6801.79,6800.3199999999997,6795.3100000000004,6815.9300000000003,6779.4899999999998
2020-11-10,CSI300,000300.SH,4995.4099999999999,4971.3299999999999,4972.3299999999999,4974.2700000000004,4979.75,4953.8800000000001
2020-11-11,CSI1000,000852.SH,6761.3500000000004,6750.3500000000004,6740.2799999999997,6749.7600000000002,6713.1800000000003,6663.7299999999996
2020-11-11,CSI300,000300.SH,4937.7600000000002,4942.1800000000003,4940.6300000000001,4946.79,4930.3900000000003,4904.8999999999996
2020-11-12,CSI1000,000852.SH,6680.1999999999998,6677.9200000000001,6691.8199999999997,6672.1599999999999,6668.2700000000004,6676.4200000000001
2020-11-12,CSI300,000300.SH,4916.7700000000004,4912.6599999999999,4922.6000000000004,4910.8999999999996,4904.1899999999996,4908.46
2020-11-13,CSI1000,000852.SH,6663.2200000000003,6625.6199999999999,6636.7600000000002,6636.8699999999999,6662.1400000000003,6686.3900000000003
2020-11-13,CSI300,000300.SH,4886.9799999999996,4865.7600000000002,4835.79,4835.2200000000003,4845.9200000000001,4856.8500000000004
2020-11-16,CSI1000,000852.SH,6703.1800000000003,6689.4799999999996,6685.9200000000001,6697.3900000000003,6698.4499999999998,6747.8100000000004
2020-11-16,CSI300,000300.SH,4880.96,4867.96,4856.0200000000004,4861.6999999999998,4869.2700000000004,4904.1700000000001
2020-11-17,CSI1000,000852.SH,6743.8699999999999,6722.0900000000001,6700.8199999999997,6694.1899999999996,6665.3000000000002,6681.7200000000003
2020-11-17,CSI300,000300.SH,4903.1199999999999,4900.9799999999996,4901.3100000000004,4889.7399999999998,4881.6300000000001,4894.79
2020-11-18,CSI1000,000852.SH,6673.6000000000004,6699.3400000000001,6716.7200000000003,6697.9200000000001,6684.6499999999996,6682.1300000000001
2020-11-18,CSI300,000300.SH,4889.6700000000001,4898.21,4907.2700000000004,4905.1499999999996,4903.6400000000003,4891.6700000000001
2020-11-19,CSI1000,000852.SH,6664.8299999999999,6634.3800000000001,6674.1099999999997,6672.6400000000003,6673.9200000000001,6718.46
2020-11-19,CSI300,000300.SH,4880.9200000000001,4876.0600000000004,4888.5799999999999,4896.9799999999996,4903.4399999999996,4927.9899999999998
2020-11-20,CSI1000,000852.SH,6713.6499999999996,6721.4399999999996,6724.0299999999997,6718.7299999999996,6720.3699999999999,6766.0600000000004
2020-11-20,CSI300,000300.SH,4928.2200000000003,4929.9700000000003,4930.5299999999997,4925.4200000000001,4932.6800000000003,4943.29
2020-11-23,CSI1000,000852.SH,6776.2399999999998,6746.3000000000002,6745.7399999999998,6767.3999999999996,6775.3299999999999,6807.7200000000003
2020-11-23,CSI300,000300.SH,4954.6000000000004,4951.46,4957.5900000000001,4959.9700000000003,4977.9899999999998,5005.0299999999997
2020-11-24,CSI1000,000852.SH,6798.8299999999999,6805.3400000000001,6798.3999999999996,6798.7799999999997,6805.8800000000001,6808
2020-11-24,CSI300,000300.SH,4997.0500000000002,4998.1899999999996,4976.9099999999999,4976.3800000000001,4976.8900000000003,4974.29
2020-11-25,CSI1000,000852.SH,6816.2299999999996,6796.1000000000004,6796.6199999999999,6776.6300000000001,6766.9700000000003,6691.8699999999999
2020-11-25,CSI300,000300.SH,4992.75,4992.3500000000004,4989.1700000000001,4979.5799999999999,4971.1700000000001,4910.6999999999998
2020-11-26,CSI1000,000852.SH,6678.1400000000003,6686.3000000000002,6673.8999999999996,6657.21,6621.4700000000003,6643.1800000000003
2020-11-26,CSI300,000300.SH,4908.3199999999997,4921.8000000000002,4906.5500000000002,4905.29,4887.6800000000003,4919.5900000000001
2020-11-27,CSI1000,000852.SH,6639.6000000000004,6620.4700000000003,6615.2600000000002,6637.6400000000003,6621.2799999999997,6641.7700000000004
2020-11-27,CSI300,000300.SH,4930.5900000000001,4929.0100000000002,4938.1899999999996,4933.6899999999996,4934.9499999999998,4980.7700000000004
