trading_day,index_name,symbol,open_0931,close_0935,close_0950,close_1005,close_1035,close_1500
2022-01-04,CSI1000,000852.SH,8045.1000000000004,8029.29,8008.21,7977.4899999999998,7960.3900000000003,7983.0699999999997
2022-01-04,CSI300,000300.SH,4957.9799999999996,4930.0600000000004,4917.8699999999999,4906.4200000000001,4876.4399999999996,4917.7700000000004
2022-01-05,CSI1000,000852.SH,7968.7399999999998,7906.2600000000002,7895.8500000000004,7858.3000000000002,7821.5299999999997,7781.6800000000003
2022-01-05,CSI300,000300.SH,4907.9300000000003,4902.3999999999996,4909.8000000000002,4888.3999999999996,4891.6199999999999,4868.1199999999999
2022-01-06,CSI1000,000852.SH,7743.8599999999997,7768.29,7755.8199999999997,7756.8800000000001,7764.71,7844.5200000000004
2022-01-06,CSI300,000300.SH,4842.1599999999999,4852.1300000000001,4843.5200000000004,4829.2299999999996,4801.9899999999998,4818.2299999999996
2022-01-07,CSI1000,000852.SH,7841.1300000000001,7845.46,7831.5900000000001,7825.0799999999999,7782,7682.6999999999998
2022-01-07,CSI300,000300.SH,4824.3199999999997,4841.0799999999999,4842.21,4842.5600000000004,4830.3299999999999,4822.3699999999999
2022-01-10,CSI1000,000852.SH,7669.0500000000002,7673.8500000000004,7643.8900000000003,7689.3699999999999,7731.46,7734.1899999999996
2022-01-10,CSI300,000300.SH,4812.2299999999996,4821.6400000000003,4796.3199999999997,4826.29,4831.3000000000002,4844.0500000000002
2022-01-11,CSI1000,000852.SH,7734.54,7758.6300000000001,7732.8100000000004,7711.1899999999996,7703.79,7646.6899999999996
2022-01-11,CSI300,000300.SH,4840.0100000000002,4834.5699999999997,4827.6199999999999,4826.9200000000001,4834.3400000000001,4797.7700000000004
2022-01-12,CSI1000,000852.SH,7691.8500000000004,7718.79,7711.0799999999999,7716.46,7723.8900000000003,7779.5200000000004
2022-01-12,CSI300,000300.SH,4818.8900000000003,4819.0900000000001,4816.6199999999999,4821.71,4819.5699999999997,4845.5799999999999
2022-01-13,CSI1000,000852.SH,7781.3100000000004,7746.4399999999996,7701.0900000000001,7719.6400000000003,7720.21,7644.79
2022-01-13,CSI300,000300.SH,4853.0299999999997,4847.2700000000004,4825.6199999999999,4836.3599999999997,4824.4300000000003,4765.9200000000001
