index_name,symbol,trading_day,open_0931,close_0935,close_0950,close_1005,close_1035,close_1500,prev_close_1500,r1,rvol20,gap,gap_rvol,required_clocks_complete
CSI1000,000852.SH,2020-01-02,5603.9300000000003,5589.1800000000003,5614.9700000000003,5633.6199999999999,5651.3299999999999,5676.5600000000004,5567.0299999999997,0.0066962025316454898,0.0099195443447748274,0.0066283098887558456,0.66820709282350688,True
CSI300,000300.SH,2020-01-02,4121.3500000000004,4126.2600000000002,4130.25,4152.8500000000004,4162.4899999999998,4152.2399999999998,4096.5799999999999,0.0036627523807890583,0.0073952690918710502,0.0060465070863990888,0.81761826531038162,True
CSI500,000905.SH,2020-01-02,5306.6700000000001,5291.4300000000003,5317.1099999999997,5342.5299999999997,5351.6899999999996,5366.1400000000003,5267.6599999999999,0.0049065803881769288,0.0094168619974791482,0.0074055652794600135,0.78641539840367736,True
CSI1000,000852.SH,2020-01-03,5685.0799999999999,5690.8699999999999,5692.46,5693.71,5705.04,5706.04,5676.5600000000004,0.019674763742965506,0.010519705379608248,0.001500909001225903,0.14267595403720296,True
CSI300,000300.SH,2020-01-03,4161.2200000000003,4163.21,4159,4156.4300000000003,4156.5799999999999,4144.96,4152.2399999999998,0.013586943255105455,0.0077019137763598387,0.0021626880912473112,0.28079879287735471,True
CSI500,000905.SH,2020-01-03,5376.0299999999997,5380.0900000000001,5381.3699999999999,5377.1300000000001,5384.6700000000001,5380.6400000000003,5366.1400000000003,0.018695208118975071,0.0099427660160343601,0.0018430380124259127,0.18536471736875917,True
CSI1000,000852.SH,2020-01-06,5686.1599999999999,5688.79,5726.5799999999999,5734.8900000000003,5757.0299999999997,5764.7299999999996,5706.04,0.005193286074664849,0.010404925574842547,-0.0034840274516126923,-0.33484405309313464,True
CSI300,000300.SH,2020-01-06,4120.5200000000004,4126.1700000000001,4145.0699999999997,4148.2399999999998,4157.3299999999999,4129.3000000000002,4144.96,-0.0017532705238617607,0.0077417939274060142,-0.0058963174554156339,-0.7616215971007213,True
CSI500,000905.SH,2020-01-06,5365.2200000000003,5374.7600000000002,5407.1400000000003,5421.3900000000003,5442.4899999999998,5434.8500000000004,5380.6400000000003,0.002702128531868242,0.0098737429483380049,-0.0028658300871271525,-0.29024758919914384,True
CSI1000,000852.SH,2020-01-07,5772.6700000000001,5780.0900000000001,5788.3500000000004,5794.9700000000003,5799.0900000000001,5852.3599999999997,5764.7299999999996,0.010285592109413821,0.010473101200906278,0.0013773411764299581,0.13151225697224919,True
CSI300,000300.SH,2020-01-07,4137.3999999999996,4146.5100000000002,4150.1800000000003,4150.0699999999997,4148.1700000000001,4160.2299999999996,4129.3000000000002,-0.0037780822975371775,0.0078742577355525398,0.001961591553047537,0.24911447134767825,True
CSI500,000905.SH,2020-01-07,5441.8999999999996,5453.9499999999998,5460.0900000000001,5467.1300000000001,5463.0799999999999,5499.8400000000001,5434.8500000000004,0.010075009664277879,0.0099140504464757459,0.0012971839149193976,0.13084298107243558,True
CSI1000,000852.SH,2020-01-08,5827.3800000000001,5835.3699999999999,5831.8900000000003,5842.7600000000002,5830.96,5772.4700000000003,5852.3599999999997,0.015201058852712945,0.010738440270410893,-0.0042683635319767932,-0.39748449723541363,True
CSI300,000300.SH,2020-01-08,4139.6300000000001,4137.6599999999999,4136.4399999999996,4137.8999999999996,4131.6499999999996,4112.3199999999997,4160.2299999999996,0.0074903736710820734,0.0078596880418973728,-0.0049516493078506363,-0.63000583247770736,True
