trading_day,holiday_reopen,a50_ordinary_preauction_closure_return,a50_ordinary_signed_square,marginal_slope
2015-02-03,0,0.010924981791699999,0.00011935522714897652,0.52546480363909442
2015-02-04,0,0.0123135211935,0.00015162280418277367,0.55873712287375454
2015-02-05,0,0.038793103448299997,0.0015049048751505051,1.1932435062288345
2015-02-06,0,0,0,0.26367930346886054
2015-02-09,0,-0.0048923679060700002,-2.3935263728343756e-05,0.38091070977475988
2015-02-10,0,0.0028770079117700002,8.2771745243871775e-06,0.33261845316599092
2015-02-11,0,0.0054424988168499996,2.9620793371413644e-05,0.39409300136878905
2015-02-12,0,-0.00212414444182,-4.5119896097147993e-06,0.3145782638275984
2015-02-13,0,-0.00070406007979400003,-4.9570059595953365e-07,0.28055006111889108
2015-02-16,0,0.00398406374502,1.5872763924382787e-05,0.35914583513782206
2015-02-17,0,0.0027958993476200002,7.8170531620219426e-06,0.33067492168567036
2015-02-26,0,-0.00023512814483900001,-5.5285244495429769e-08,0.26931346745873008
2015-03-02,0,0.0144462279294,0.00020869350138817661,0.60984125377474818
2015-03-03,0,-0.0029809676679699998,-8.8861682374824992e-06,0.33510954718273961
2015-03-04,0,0.0035697287006199998,1.2742962996030152e-05,0.34921749759874121
2015-03-05,0,-0.00454436737623,-2.0651274850143536e-05,0.3725718864704608
2015-03-06,0,-0.00096781998548299997,-9.3667552430031427e-07,0.28687030220964571
2015-03-09,0,-0.0077707625060699998,-6.0384749925743306e-05,0.44988308743316219
2015-03-10,0,-0.0016556291390699999,-2.7411078461376693e-06,0.30335165354976723
2015-03-11,0,-0.0060067275348400003,-3.6080775677805028e-05,0.40761310602119583
2015-03-12,0,0.0071650346310000003,5.1337721263429312e-05,0.43536857585175859
2015-03-13,0,0.0062298107983399997,3.8810542583113661e-05,0.4129586493665699
2015-03-16,0,0.00046061722708400001,2.1216822988655324e-07,0.27471665927212796
2015-03-17,0,0.0099099099099099995,9.8206314422532418e-05,0.50114155025985141
2015-03-18,0,0.00555926173004,3.0905390983087333e-05,0.39689088590659216
2015-03-19,0,-0.0019459459459499999,-3.7867056245592401e-06,0.31030825374791549
2015-03-20,0,0.0047888550283000002,2.2933132482074196e-05,0.37843032390339243
2015-03-23,0,0.011570602099900001,0.00013387883295421031,0.54093522167041808
2015-03-24,0,0.0035956006768199998,1.2928344227148441e-05,0.34983744446538539
2015-03-25,0,-0.0042607584150000004,-1.8154062270993316e-05,0.36577602033686585
2015-03-26,0,-0.00064878892733599995,-4.2092707223379742e-07,0.27922564826703666
2015-03-27,0,-0.0023600085818499998,-5.5696405064056477e-06,0.32023006380742858
2015-03-30,0,0.0066366944979699997,4.4045713859385269e-05,0.42270843704124395
2015-04-01,0,-0.0023002927645299999,-5.2913468025490694e-06,0.3187991474541339
2015-04-02,0,0.0070204418748699999,4.9286604118428197e-05,0.43190382984977965
2015-04-03,0,-0.0066555740432599998,-4.4296665845316259e-05,0.42316083058303311
2015-04-08,0,0.00020104543626899999,4.0419267444592541e-08,0.2684967742064876
2015-04-09,0,-0.00079270709472799999,-6.2838453803210638e-07,0.28267422970658851
2015-04-10,0,-0.00139442231076,-1.9444135807452578e-06,0.29709258955306894
2015-04-13,0,0.0081712062256799993,6.6768611182591579e-05,0.45947855966614792
2015-04-14,0,-0.0055555555555600001,-3.0864197530913584e-05,0.39680207818512736
2015-04-15,0,-0.00038402457757300001,-1.474748761801211e-07,0.27288133858748997
2015-04-16,0,-0.0043511161558800002,-1.8932211801959951e-05,0.36794118150981114
2015-04-17,0,0.015367926234,0.00023617315673366544,0.63192708021146404
2015-04-20,0,-0.0105413614436,-0.00011112030108461666,0.51627245470729721
2015-04-21,0,0.0088954781319499996,7.9129531196000659e-05,0.47683363511224047
2015-04-22,0,0.0079710144927500007,6.3537072043630554e-05,0.4546815454528299
2015-04-23,0,0.0010557803976799999,1.1146722481253387e-06,0.28897801835427722
2015-04-24,0,-0.0089094796863900001,-7.9378828282196056e-05,0.47716914175217107
2015-04-27,0,0.0081286127167600006,6.6074344699072404e-05,0.45845792976952893
2015-04-28,0,0.00017458100558700001,3.0478527511768131e-08,0.26786263088662676
2015-04-29,0,-0.0047013755876700002,-2.210293241633944e-05,0.37633413284728146
2015-05-05,0,0.0015903869941700001,2.5293307912250876e-06,0.30178831478541335
2015-05-06,0,-0.0014692378328699999,-2.1586598095365339e-06,0.29888532653419081
2015-05-07,0,-0.00036982248520700002,-1.3676867056468176e-07,0.27254102663783331
2015-05-08,0,0.00373761913661,1.3969796810353282e-05,0.35324050492245423
