trading_day,prev_trading_day,asset_id,prev_close_1500_qfq,close_0935_qfq,close_0950_qfq
2018-01-02,2017-12-29,000049,22.54906686176708,22.66297980373104,22.42376262560671
2018-01-02,2017-12-29,000591,4.696203137666028,4.67992513718885,4.67992513718885
2018-01-02,2017-12-29,000672,6.030465232354343,6.080098691056849,6.080098691056849
2018-01-02,2017-12-29,000877,8.585931046491385,8.660232372855253,8.643720966996616
2018-01-02,2017-12-29,002148,8.88970534073356,8.88970534073356,8.850500466022496
2018-01-02,2017-12-29,002149,9.308913725864105,9.308913725864105,9.279853641392107
2018-01-02,2017-12-29,002158,10.07284238846323,10.07284238846323,10.09026945141905
2018-01-02,2017-12-29,002171,6.553598670337741,6.571752683274966,6.54452166386913
2018-01-02,2017-12-29,002217,9.81251676826807,9.802704251499803,9.734016634121925
2018-01-02,2017-12-29,002300,6.371203813389957,6.335729404629433,6.293160114116804
2018-01-02,2017-12-29,002305,4.62,4.68,4.69
2018-01-02,2017-12-29,002315,11.20122763066042,11.25301324152801,11.34104878000292
2018-01-02,2017-12-29,002346,17.52568850756792,17.5913277903678,17.50693442676796
2018-01-02,2017-12-29,002366,,,
2018-01-02,2017-12-29,002370,14.31058499655884,14.33051617343427,14.48
2018-01-02,2017-12-29,002429,3.346293658072141,3.374335225039225,3.355640847061169
2018-01-02,2017-12-29,002456,20.49868350418446,20.54846175455888,20.38917135336074
2018-01-02,2017-12-29,002517,14.67426725753077,14.4760556331607,14.52230501218039
2018-01-02,2017-12-29,002532,5.827089619766942,5.883299487481735,5.892667798767534
2018-01-02,2017-12-29,002545,,,
2018-01-02,2017-12-29,002643,9.576957839725067,9.666545845709399,9.78301025348903
2018-01-02,2017-12-29,002726,8.506469191891707,8.521366686098172,8.461776709272311
2018-01-02,2017-12-29,002742,21.08835379084099,20.9229167744846,20.78667452572051
2018-01-02,2017-12-29,002759,16.76924962221002,16.91144224195742,16.97779879783954
2018-01-02,2017-12-29,002763,10.04647212859349,10.03179503271535,10.02445648477627
2018-01-02,2017-12-29,002777,13.54658991534781,13.63455478492799,13.59856915646337
2018-01-02,2017-12-29,300115,16.35539147123292,16.33909312397709,16.19240799867455
2018-01-02,2017-12-29,300196,12.69954912579405,12.79693830620658,12.75798263404157
2018-01-02,2017-12-29,300257,13.89410220138281,13.94372399495918,14.06281629954246
2018-01-02,2017-12-29,300260,,,
2018-01-02,2017-12-29,300422,16.66955209689134,16.66955209689134,16.65978668851589
2018-01-02,2017-12-29,300457,17.26095752217125,17.26095752217125,17.36408497562709
2018-01-02,2017-12-29,300471,12.43211337415378,12.38230522762271,12.40222848623514
2018-01-02,2017-12-29,300531,15.56553931063182,15.60479666072168,15.54591063558688
2018-01-02,2017-12-29,600076,7.174765710087538,7.203931424356186,7.174765710087538
2018-01-02,2017-12-29,600386,4.741542288819368,4.788027997533285,4.778730855790501
2018-01-02,2017-12-29,600420,12.72,12.65,12.52
2018-01-02,2017-12-29,600679,19.14469965059273,19.05629416221134,19.00718000199946
2018-01-02,2017-12-29,600802,5.808428924904125,5.816418510770569,5.816418510770569
2018-01-03,2018-01-02,000049,22.65728415663285,22.68006674502564,22.64589286243645
2018-01-03,2018-01-02,000591,4.769454139813332,4.745037139097564,4.761315139574743
