trading_day,holiday_reopen,a50_channel_mode,a50_channel_return,a50_target_end_time,hkma_usdcny_closure_return
2019-01-02,1,holiday,0.0050651230101301792,92459,0.0020161899321620158
2019-01-03,0,ordinary,0.001220703125,91458,0
2019-01-04,0,ordinary,-0.0034096444228000002,91458,0
2019-01-07,0,ordinary,0.011190476190500001,91459,-0.0014097903495847719
2019-01-08,0,ordinary,0.00166984732824,91459,0
2019-01-09,0,ordinary,0.0069278547539399996,91459,0
2019-01-10,0,ordinary,0.00117924528302,91457,0
2019-01-11,0,ordinary,0.0054143126176999998,91456,0
2019-01-14,0,ordinary,-0.0020979020979000002,91435,0.0012971611767389479
2019-01-15,0,ordinary,0.00495633703092,91459,0
2019-01-16,0,ordinary,-0.0020751671662399998,91445,0
2019-01-17,0,ordinary,0.0027579866697299998,91459,0
2019-01-18,0,ordinary,0.0088044485634799999,91459,0
2019-01-21,0,ordinary,0.0036305877013799999,91459,0.0032573827936563937
2019-01-22,0,ordinary,-0.0022517451024500002,91458,0
2019-01-23,0,ordinary,-0.0020557332115100002,91459,0
2019-01-24,0,ordinary,0.0045756119880999997,91439,0
2019-01-25,0,ordinary,0.0052213393870599997,91446,0
2019-01-28,0,ordinary,0.0053715308862999998,91454,-0.0021057436510262262
2019-01-29,0,ordinary,-0.0047043010752699996,91459,0
2019-01-30,0,ordinary,-0.00022212350066599999,91451,0
2019-01-31,0,ordinary,,,0
2019-02-01,0,ordinary,0.0052344601962899997,91449,0
2019-02-11,1,holiday,-0.01040312093628093,92457,0.0055786196159834933
2019-02-12,0,ordinary,0.0038684719535800002,91459,0
2019-02-13,0,ordinary,0.0040816326530600001,91459,0
2019-02-14,0,ordinary,-0.0025279123657,91448,0
2019-02-15,0,ordinary,-0.0033755274261600002,91459,0
2019-02-18,0,ordinary,0.011022260644,91458,-0.0021574973031283085
2019-02-19,0,ordinary,-0.00063211125157999998,91458,0
2019-02-20,0,ordinary,0.0056998100063300004,91459,0
2019-02-21,0,ordinary,0.00020995171110600001,91450,0
2019-02-22,0,ordinary,0.00063304494619100004,91459,0
2019-02-25,0,ordinary,0.0064516129032300001,91459,-0.0033705577348440707
2019-02-26,0,ordinary,-0.0017626321974099999,91457,0
2019-02-27,0,ordinary,0.0054151624548699996,91452,0
2019-02-28,0,ordinary,,,0
2019-03-01,0,ordinary,0.0085828343313399998,91457,0
2019-03-04,0,ordinary,0.00581733566027,91458,0.0023977584590797463
2019-03-05,0,ordinary,0.0069390902081699997,91458,0
2019-03-06,0,ordinary,0.00192566917004,91455,0
2019-03-07,0,ordinary,-0.00345887778632,91458,0
2019-03-08,0,ordinary,-0.0151039623382,91459,0
2019-03-11,0,ordinary,-0.0046757471030699996,91457,4.4191285058836627e-05
2019-03-12,0,ordinary,0.011068625477999999,91457,0
2019-03-13,0,ordinary,0.0032109171181999999,91454,0
2019-03-14,0,ordinary,0.00140280561122,91441,0
2019-03-15,0,ordinary,0.0045990801839600002,91458,0
2019-03-18,0,ordinary,0.0017765495459900001,91454,-0.0011958021068989577
2019-03-19,0,ordinary,0.00038431975403500001,91443,0
2019-03-20,0,ordinary,-0.0015500871923999999,91444,0
2019-03-21,0,ordinary,0.0021297192642800002,91451,0
2019-03-22,0,ordinary,0.0040856031128399996,91459,0
2019-03-25,0,ordinary,-0.019855947050799998,91456,0.0030432918988425595
2019-03-26,0,ordinary,0.0118569131833,91458,0
2019-03-27,0,ordinary,0.0042160208793400001,91457,0
2019-03-28,0,ordinary,-0.0089179548156999994,91417,0
2019-03-29,0,ordinary,,,0
2019-04-01,0,ordinary,0.012987012987,91456,-0.00098279762320985231
2019-04-02,0,ordinary,0.0031775700934599999,91458,0
2019-04-03,0,ordinary,0.0016835016835000001,91455,0
2019-04-04,0,ordinary,0.00278344776396,91457,0
2019-04-08,1,holiday,0.0080600842645173199,92459,-0.00068234751866924626
2019-04-09,0,ordinary,0.0042093704245999997,91452,0
2019-04-10,0,ordinary,-0.00579395256201,91458,0
2019-04-11,0,ordinary,-0.00018031013342900001,91457,0
2019-04-12,0,ordinary,0.0016565433462200001,91454,0
2019-04-15,0,ordinary,0.0155153306243,91455,-0.0020118832350054516
2019-04-16,0,ordinary,-0.000736512612779,91458,0
2019-04-17,0,ordinary,-0.00071237756010699999,91457,0
2019-04-18,0,ordinary,-0.00250089317613,91455,0
2019-04-19,0,ordinary,0.0052036605060100001,91451,0
2019-04-22,0,ordinary,-0.0024708789269299999,91458,0
2019-04-23,0,ordinary,0.00018148820326699999,91459,0
2019-04-24,0,ordinary,0.0054259359739600001,91456,0
2019-04-25,0,ordinary,-0.0048930772018799997,91459,0
2019-04-26,0,ordinary,-0.0099301213681500002,91459,0
2019-04-29,0,ordinary,0.0059645852749300003,91458,9.017046122394845e-05
2019-04-30,0,ordinary,,,0
2019-05-06,1,holiday,-0.035897435897435881,92459,-0.0013711885504936738
2019-05-07,0,ordinary,0.0145264381174,91459,0
2019-05-08,0,ordinary,-0.022827546518300001,91455,0
