trading_day,holiday_reopen,a50_channel_mode,a50_channel_return,a50_target_end_time,hkma_usdcny_closure_return
2020-01-02,0,ordinary,0.0074575095386800001,91458,0
2020-01-03,0,ordinary,0.0063573883161499997,91453,0
2020-01-06,0,ordinary,-0.0044936052540599999,91459,0.00010126233507135041
2020-01-07,0,ordinary,0.0059212817833499999,91456,0
2020-01-08,0,ordinary,-0.0088159031979300004,91453,0
2020-01-09,0,ordinary,0.0083682008368199997,91454,0
2020-01-10,0,ordinary,0.0018985157059000001,91455,0
2020-01-13,0,ordinary,0.0012077294686,91455,-0.0014645831726110004
2020-01-14,0,ordinary,0.0054775761725400001,91458,0
2020-01-15,0,ordinary,0.00051510989010999995,91454,0
2020-01-16,0,ordinary,0.0024250822795800001,91458,0
2020-01-17,0,ordinary,0.0033026247175400002,91446,0
2020-01-20,0,ordinary,0.00486448922863,91452,0.00071898351191634902
2020-01-21,0,ordinary,-0.0050173010380599996,91458,0
2020-01-22,0,ordinary,-0.0037063183904000002,91459,0
2020-01-23,0,ordinary,-0.013558725127700001,91457,0
2020-02-03,1,holiday,,,0.0098276396313772274
2020-02-04,0,ordinary,0.0127591706539,91459,0
2020-02-05,0,ordinary,0.0045792787635900003,91457,0
2020-02-06,0,ordinary,0.011331444759199999,91455,0
2020-02-07,0,ordinary,-0.013209302325599999,91459,0
2020-02-10,0,ordinary,-0.0121359223301,91456,0.0039849113657828283
2020-02-11,0,ordinary,0.0028068862275400001,91459,0
2020-02-12,0,ordinary,0.00073678393811000002,91453,0
2020-02-13,0,ordinary,-0.00018385732671400001,91458,0
2020-02-14,0,ordinary,-0.0029569395675500001,91453,0
2020-02-17,0,ordinary,-0.0033015407190000001,91459,0.0012219739799388396
2020-02-18,0,ordinary,-0.0068740955137500002,91459,0
2020-02-19,0,ordinary,0.00054884742041700003,91456,0
2020-02-20,0,ordinary,0.0021842009464899999,91459,0
2020-02-21,0,ordinary,-0.00787965616046,91458,0
2020-02-24,0,ordinary,-0.0075444584156599999,91459,-0.0010060433990349837
2020-02-25,0,ordinary,-0.0078481474721700008,91459,0
2020-02-26,0,ordinary,-0.013563049853400001,91457,0
2020-02-27,0,ordinary,-0.00348176653839,91456,0
2020-02-28,0,ordinary,,,0
2020-03-02,0,ordinary,0.0032045240339300001,91459,-0.0044015439295719272
2020-03-03,0,ordinary,0.0114033474342,91459,0
2020-03-04,0,ordinary,0.00310275597737,91448,0
2020-03-05,0,ordinary,0.0048966267682299999,91458,0
2020-03-06,0,ordinary,-0.011818662903499999,91459,0
2020-03-09,0,ordinary,-0.0300467794171,91459,-0.0025012563914594832
2020-03-10,0,ordinary,0.0041083099906600003,91459,0
2020-03-11,0,ordinary,0.0067321688500699998,91459,0
2020-03-12,0,ordinary,-0.0079321158457799999,91455,0
2020-03-13,0,ordinary,-0.045871559632999999,91458,0
2020-03-16,0,ordinary,-0.0085779641631700005,91459,0.0021959895621703751
2020-03-17,0,ordinary,-0.0077890952666300004,91459,0
2020-03-18,0,ordinary,-0.00060350030174999997,91459,0
2020-03-19,0,ordinary,-0.0037352147748499999,91459,0
2020-03-20,0,ordinary,0.0219131900548,91459,0
2020-03-23,0,ordinary,-0.046615322253699999,91459,0.0051621366760112863
2020-03-24,0,ordinary,0.027619650010499999,91458,0
2020-03-25,0,ordinary,0.020969055374600001,91459,0
2020-03-26,0,ordinary,-0.0059464816650100002,91456,0
2020-03-27,0,ordinary,0.016507557677,91459,0
2020-03-30,0,ordinary,-0.0140094711918,91450,0.00064852234994972058
2020-03-31,0,ordinary,,,0
2020-04-01,0,ordinary,0,91458,0
2020-04-02,0,ordinary,-0.0094075260208199996,91459,0
2020-04-03,0,ordinary,-0.0025625862408799999,91458,0
2020-04-07,1,holiday,0.023573692551505543,92459,-0.00022051654082200223
2020-04-08,0,ordinary,-0.0071788901823800003,91458,0
2020-04-09,0,ordinary,0.0072279742137100001,91440,0
2020-04-10,0,ordinary,-0.00097370983446899999,91458,0
2020-04-13,0,ordinary,-0.00039009167154299999,91459,0
2020-04-14,0,ordinary,0.00470127326151,91459,0
2020-04-15,0,ordinary,-0.0021198689535600001,91455,0
2020-04-16,0,ordinary,-0.0089233753637199993,91459,0
2020-04-17,0,ordinary,0.0075596045745300001,91451,0
2020-04-20,0,ordinary,-0.00153344834196,91448,0.0015094684841274741
2020-04-21,0,ordinary,-0.0049523809523799997,91458,0
2020-04-22,0,ordinary,-0.0059996129282,91435,0
2020-04-23,0,ordinary,0.0013399693721300001,91459,0
2020-04-24,0,ordinary,-0.0030622009569400001,91447,0
2020-04-27,0,ordinary,0.0053856510867500004,91453,0.0006570139640968975
2020-04-28,0,ordinary,0.00265957446809,91458,0
2020-04-29,0,ordinary,0.0016949152542399999,91444,0
2020-04-30,0,ordinary,,,0
2020-05-06,1,holiday,-0.025961897646619381,92459,0.0056608124088315392
2020-05-07,0,ordinary,-0.0030069535801499998,91454,0
2020-05-08,0,ordinary,0.0056369785794800004,91443,0
2020-05-11,0,ordinary,0.0050260610573300002,91459,0.00096180269304779742
2020-05-12,0,ordinary,-0.0046425255338899997,91458,0
2020-05-13,0,ordinary,-0.0031627906976699999,91457,0
2020-05-14,0,ordinary,-0.0063150074294199996,91458,0
2020-05-15,0,ordinary,0.0048798798798799998,91452,0
2020-05-18,0,ordinary,-0.00113314447592,91452,0.0022170529071083855
2020-05-19,0,ordinary,0.00937382827147,91459,0
2020-05-20,0,ordinary,-0.00055845122859299995,91459,0
2020-05-21,0,ordinary,0.00465896384644,91453,0
2020-05-22,0,ordinary,-0.0044784474715399997,91457,0
2020-05-25,0,ordinary,0.0023010546500499998,91459,0.00041486125195921986
2020-05-26,0,ordinary,0.0055196041111499998,91459,0
2020-05-27,0,ordinary,-0.0013157894736800001,91458,0
2020-05-28,0,ordinary,-0.0018885741265300001,91459,0
2020-05-29,0,ordinary,,,0
2020-06-01,0,ordinary,0.0085502565076999992,91455,-0.0039673330608314128
2020-06-02,0,ordinary,0.00018525379770300001,91459,0
2020-06-03,0,ordinary,0.0097444383158699997,91459,0
2020-06-04,0,ordinary,0.0082447783070700009,91459,0
2020-06-05,0,ordinary,0.0012853470437000001,91451,0
2020-06-08,0,ordinary,0.0021897810219000001,91458,-0.0017144835678291059
2020-06-09,0,ordinary,-0.00090909090909099995,91457,0
2020-06-10,0,ordinary,0.0010851871947899999,91459,0
2020-06-11,0,ordinary,-0.0018142235123400001,91458,0
2020-06-12,0,ordinary,-0.0068202764977000003,91458,0
2020-06-15,0,ordinary,-0.0097354886113200003,91459,0.001069593597867291
2020-06-16,0,ordinary,0.016098839386,91459,0
2020-06-17,0,ordinary,-0.0012886597938100001,91455,0
2020-06-18,0,ordinary,-0.00055319933616099996,91447,0
2020-06-19,0,ordinary,0.000732869182851,91459,0
2020-06-22,0,ordinary,-0.00380365875747,91452,0.0014803786724508772
2020-06-23,0,ordinary,0.0010901162790700001,91459,0
2020-06-24,0,ordinary,0.0043446777697300001,91457,0
2020-06-29,1,holiday,-0.005201793721973047,92458,0.003438814803044421
2020-06-30,0,ordinary,,,0
2020-07-01,0,ordinary,0.0030993618960799998,91459,0
2020-07-02,0,ordinary,-0.0033628318584099999,91455,0
2020-07-03,0,ordinary,0.0053512860348700004,91456,0
2020-07-06,0,ordinary,0.0092811339858299997,91459,0.00097680477896089357
2020-07-07,0,ordinary,0.015430640844000001,91459,0
2020-07-08,0,ordinary,0.0100644755465,91458,0
2020-07-09,0,ordinary,0.00873907615481,91458,0
2020-07-10,0,ordinary,-0.00403288351171,91456,0
2020-07-13,0,ordinary,0.0070097180181600003,91458,-0.0017418081114267681
2020-07-14,0,ordinary,-0.0037682524729200002,91451,0
2020-07-15,0,ordinary,0.0085727893316399992,91459,0
2020-07-16,0,ordinary,0.0048038430744600001,91456,0
2020-07-17,0,ordinary,0.0088926174496600004,91459,0
2020-07-20,0,ordinary,0.0014920424403199999,91458,-0.00021248659136341441
2020-07-21,0,ordinary,0.0077757978292600002,91459,0
2020-07-22,0,ordinary,0.00032372936225299998,91456,0
2020-07-23,0,ordinary,-0.0048449612403100003,91459,0
2020-07-24,0,ordinary,-0.0061588330632099996,91458,0
2020-07-27,0,ordinary,0.0138419986496,91459,-0.00087218558697210735
2020-07-28,0,ordinary,0.0075617543270000004,91453,0
2020-07-29,0,ordinary,-0.0034918523445300002,91459,0
2020-07-30,0,ordinary,0.00130911471118,91455,0
2020-07-31,0,ordinary,,,0
2020-08-03,0,ordinary,0.0032927230819899999,91453,-0.00034140329758425292
2020-08-04,0,ordinary,0.0080078444190199993,91459,0
2020-08-05,0,ordinary,-0.0012970168612200001,91458,0
2020-08-06,0,ordinary,0.0034319333224399999,91458,0
2020-08-07,0,ordinary,0.0037723470559299999,91457,0
2020-08-10,0,ordinary,-0.00066159444260700004,91459,0.00060961017331195855
2020-08-11,0,ordinary,0.0046067785455700004,91457,0
2020-08-12,0,ordinary,0.00032948929159800001,91459,0
2020-08-13,0,ordinary,0.00230566534914,91456,0
2020-08-14,0,ordinary,0.0019870839542999999,91459,0
2020-08-17,0,ordinary,-0.0022767929744700001,91458,-5.9109396751355625e-05
2020-08-18,0,ordinary,-0.00079617834394899996,91458,0
2020-08-19,0,ordinary,0.00079936051159099997,91459,0
2020-08-20,0,ordinary,-0.00486618004866,91456,0
2020-08-21,0,ordinary,0.0080380577427800002,91457,0
2020-08-24,0,ordinary,0.0019524894240200001,91456,0.0036375982043932442
2020-08-25,0,ordinary,0.0042153047989600002,91454,0
2020-08-26,0,ordinary,0.00225442834138,91454,0
2020-08-27,0,ordinary,0.0014605647516999999,91459,0
2020-08-28,0,ordinary,-0.00080945442771600002,91458,0
2020-08-31,0,ordinary,,,-0.00028574789092794539
2020-09-01,0,ordinary,-0.0047885075817999997,91458,0
2020-09-02,0,ordinary,0.0028671551449500001,91459,0
2020-09-03,0,ordinary,0.00079808459696700004,91457,0
2020-09-04,0,ordinary,-0.0076665069477699996,91459,0
2020-09-07,0,ordinary,0.0034019115503000001,91459,-0.0009468645501303774
2020-09-08,0,ordinary,0.0065703022339000001,91451,0
2020-09-09,0,ordinary,-0.011705413753899999,91458,0
2020-09-10,0,ordinary,0.0084367245657599992,91459,0
2020-09-11,0,ordinary,-0.0045977011494299997,91459,0
2020-09-14,0,ordinary,0.0044197086266200003,91454,-0.00063750732305167812
2020-09-15,0,ordinary,-0.0021090201168100001,91452,0
2020-09-16,0,ordinary,0.00144997583374,91455,0
2020-09-17,0,ordinary,-0.00081314034802399998,91458,0
2020-09-18,0,ordinary,0.0047689524749199999,91454,0
2020-09-21,0,ordinary,0.00143953934741,91457,0.0043530226057371113
2020-09-22,0,ordinary,0.0012944983818800001,91455,0
2020-09-23,0,ordinary,0,91455,0
2020-09-24,0,ordinary,-0.0071989528795799998,91458,0
2020-09-25,0,ordinary,0.00182542316628,91457,0
2020-09-28,0,ordinary,0.00165371258475,91458,0.00081645798397955716
2020-09-29,0,ordinary,0.0067246186649200001,91458,0
2020-09-30,0,ordinary,,,0
2020-10-09,1,holiday,0.021635012386457486,92459,-0.012847222222222232
2020-10-12,0,ordinary,0.0071507508288400001,91459,-0.0011009299848806497
2020-10-13,0,ordinary,-0.00257942749292,91458,0
2020-10-14,0,ordinary,0.0025103552152600001,91455,0
2020-10-15,0,ordinary,-0.0042127766599600004,91458,0
2020-10-16,0,ordinary,-0.0022000125715,91458,0
2020-10-19,0,ordinary,0.0059546195311500003,91458,-0.0019212737935809798
2020-10-20,0,ordinary,0.00025168313093800002,91459,0
2020-10-21,0,ordinary,0.0021951831409899999,91448,0
2020-10-22,0,ordinary,-0.0021203617087600002,91451,0
2020-10-23,0,ordinary,0.000623130608175,91457,0
2020-10-26,0,ordinary,0.00143588462979,91457,-0.0003225293187261169
2020-10-27,0,ordinary,0.00038030043734499998,91456,0
2020-10-28,0,ordinary,-0.0010165830103599999,91455,0
2020-10-29,0,ordinary,-0.0059952038369300003,91458,0
2020-10-30,0,ordinary,,,0
2020-11-02,0,ordinary,0.00434338272867,91459,-0.00038815055587781977
2020-11-03,0,ordinary,0.0054047180008900001,91456,0
2020-11-04,0,ordinary,-0.00075457460856400002,91456,0
2020-11-05,0,ordinary,0.015398944427200001,91458,0
2020-11-06,0,ordinary,0.0087111220170500003,91458,0
2020-11-09,0,ordinary,0.0120489334235,91458,-0.0036977218633116316
2020-11-10,0,ordinary,0.0023014959723800001,91459,0
2020-11-11,0,ordinary,0.0018794713229099999,91456,0
2020-11-12,0,ordinary,-0.000243220235924,91457,0
2020-11-13,0,ordinary,-0.00140621178772,91459,0
