trading_day,holiday_reopen,a50_channel_mode,a50_channel_return,a50_target_end_time,hkma_usdcny_closure_return
2017-01-03,1,holiday,0,92459,-3.2951012634785393e-05
2017-01-04,0,ordinary,0.0012394645513100001,91449,0
2017-01-05,0,ordinary,0.0034423407917399998,91429,0
2017-01-06,0,ordinary,0.0029520295202999998,91454,0
2017-01-09,0,ordinary,0.001233349778,91448,0.008197052443505326
2017-01-10,0,ordinary,-0.00098449421609600007,91459,0
2017-01-11,0,ordinary,0.0029607698001499999,91456,0
2017-01-12,0,ordinary,0.00148551621689,91453,0
2017-01-13,0,ordinary,0.0029821073558599998,91445,0
2017-01-16,0,ordinary,-0.00074074074074100005,91452,0.000176413513275131
2017-01-17,0,ordinary,0.00147311563958,91444,0
2017-01-18,0,ordinary,0.00245278390974,91455,0
2017-01-19,0,ordinary,-0.00146092037984,91453,0
2017-01-20,0,ordinary,0.001953125,91455,0
2017-01-23,0,ordinary,0.0019417475728199999,91459,-0.00034258281558474657
2017-01-24,0,ordinary,0.0017006802721100001,91448,0
2017-01-25,0,ordinary,0.00145489815713,91457,0
2017-01-26,0,ordinary,,,0
2017-02-03,1,holiday,0.0038387715930903177,92455,-0.0014122609697992949
2017-02-06,0,ordinary,0.00266537436394,91456,-0.0023596056618508943
2017-02-07,0,ordinary,0.00024218939210499999,91455,0
2017-02-08,0,ordinary,0.0014605647516999999,91420,0
2017-02-09,0,ordinary,-0.00024254183846699999,91459,0
2017-02-10,0,ordinary,0.00265700483092,91456,0
2017-02-13,0,ordinary,0.0028776978417300002,91458,-0.00013268465280869002
2017-02-14,0,ordinary,0.00166984732824,91457,0
2017-02-15,0,ordinary,0.00143403441683,91440,0
2017-02-16,0,ordinary,0.00143266475645,91434,0
2017-02-17,0,ordinary,0.000953743443014,91450,0
2017-02-20,0,ordinary,0.0011993283761100001,91455,-0.00017296355879903302
2017-02-21,0,ordinary,-0.000235349493999,91455,0
2017-02-22,0,ordinary,0.0025986298133700001,91457,0
2017-02-23,0,ordinary,-0.00070788107597900005,91446,0
2017-02-24,0,ordinary,-0.00023707918444799999,91456,0
2017-02-27,0,ordinary,-0.0030886196246099999,91450,0.0011127196154701036
2017-02-28,0,ordinary,,,0
2017-03-01,0,ordinary,0.0038240917782,91455,0
2017-03-02,0,ordinary,0.0038213518032000002,91454,0
2017-03-03,0,ordinary,-0.0012027904739,91455,0
2017-03-06,0,ordinary,0.00144857556736,91452,0.00062627255590341768
2017-03-07,0,ordinary,0.00024096385542199999,91456,0
2017-03-08,0,ordinary,-0.00096084554407900005,91443,0
2017-03-09,0,ordinary,-0.0028839221340999999,91456,0
2017-03-10,0,ordinary,-0.00096758587324600001,91456,0
2017-03-13,0,ordinary,-0.00121036068748,91457,-0.0027852706205847566
2017-03-14,0,ordinary,-0.0012010569301000001,91440,0
2017-03-15,0,ordinary,-0.00048157958102599998,91455,0
2017-03-16,0,ordinary,0.0062605345533299998,91457,0
2017-03-17,0,ordinary,0.00143232275006,91427,0
2017-03-20,0,ordinary,0.0029027576197399999,91456,0.00069189359927279703
2017-03-21,0,ordinary,0.00192957067053,91454,0
2017-03-22,0,ordinary,-0.0048123195380199999,91457,0
2017-03-23,0,ordinary,0.0041182170542599997,91455,0
2017-03-24,0,ordinary,0.0031438935912900001,91452,0
2017-03-27,0,ordinary,-0.0035850860420599999,91454,-0.0014995102533891247
2017-03-28,0,ordinary,0.0052859202306600002,91456,0
