trading_day,gap,r1,r20,rvol20,prev_daytime,prev_last_hour,prev_afternoon,holiday_reopen,weekend,prev_gap,overnight_trend_5,abs_r1,us_nasdaq,us_vix_chg
2019-01-02,0.0015191805003136327,0.0012136553173698328,-0.046934499094269166,0.012864051934001716,0.00022126691111412633,-0.0010530612060818401,0.0030226392281968995,1,0,0.00099216887211417415,0.00028885002539331684,0.0012136553173698328,0.007708990176960473,-0.10303458009880018
2019-01-03,-0.00095723517816581616,-0.0048509939007048697,-0.081994215259803216,0.0097864727552765193,-0.0063605116357694502,0.0018247926372003676,-0.0036837573420900327,0,0,0.0015191805003136327,0.00088309424625871986,0.0048509939007048697,0.007708990176960473,-0.10303458009880018
2019-01-04,-0.0088648026210569331,-0.0071838004958568735,-0.096841423227002066,0.0092812377287382532,-0.0062325313159157236,-0.0071815484561713605,-0.0054986753191278437,0,0,-0.00095723517816581616,0.0027112509242744444,0.0071838004958568735,-0.030369310254817705,0.096037898363479757
2019-01-07,0.005633752715161755,0.027652243846045144,-0.066244688072842006,0.011804828222907925,0.036843658225105269,0.0051937023007386784,0.0028047113800384604,0,1,-0.0088648026210569331,0.0011730831400943442,0.027652243846045144,0.042602305252572137,-0.15992141453831044
2019-01-08,-0.001593330648759772,0.021401145870619143,-0.028907757704120352,0.012508518376421651,0.015679061201840261,0.0022907508208522831,0.0047897643392202927,0,0,0.005633752715161755,-0.00033538714232663749,0.021401145870619143,0.012555536099577713,0.00093545369504210996
2019-01-09,0.00079824995692501233,-0.0019851332673073152,-0.031038272152834945,0.012503361274668215,-0.00039242788592563915,-0.00013084352640757579,-0.00073663861773465289,0,0,-0.001593330648759772,-0.0008524870465014267,0.0019851332673073152,0.010776042101745764,-0.043457943925233611
2019-01-10,-0.0004352803423044449,0.0021177614977436754,-0.01750837143064865,0.012290914124031826,0.0013184590809141028,-0.010095656670113917,-0.011199152961835934,0,0,0.00079824995692501233,-0.00099667315517915078,0.0021177614977436754,0.008711033782804023,-0.023937469467513406
2019-01-11,0.00059792950542081336,-0.0026682684983263538,-0.029232258652210574,0.012058348999903832,-0.0022339605551370267,-0.0069260842052339955,-0.0080482113402285949,0,0,-0.0004352803423044449,-0.00089228218800687655,0.0026682684983263538,0.0041669781000075456,-0.024024024024024038
2019-01-14,1.947373317956469e-05,0.008539044360259096,-0.020600489105327191,0.012261710998664221,0.0079363694653691308,0.0054912898656982456,0.0058655047381088732,0,1,0.00059792950542081336,0.0010002642372886727,0.008539044360259096,-0.0020884417132951416,-0.067179487179487074
2019-01-15,-0.0023159686473566143,-0.005932997375373561,-0.035587733955816159,0.012051281084405273,-0.0059523551939762998,0.00057279007570398832,-0.00044601674412136916,0,0,1.947373317956469e-05,-0.00012259155910776531,0.005932997375373561,-0.0094040289866713644,0.048378229796591565
2019-01-16,1.2919423707513644e-05,0.010878957988241789,0.00049117923949082432,0.010964648426878843,0.013225556610051203,0.0041101280820556862,0.0042621192528424778,0,0,-0.0023159686473566143,-0.00026711915882713375,0.010878957988241789,0.017073757008479573,-0.024646040901940114
2019-01-17,-0.0010631415509357867,-0.0015008063873631627,0.0021546367913416464,0.010945122203522287,-0.0015137062548581381,-0.0024008467502516506,-0.0030014018008410748,0,0,1.2919423707513644e-05,-0.00042418526547063353,0.0015008063873631627,0.0015461649840613489,0.023655913978494425
2019-01-18,0.00016537953515305404,-0.0089946519451392648,-0.00024365782609359066,0.011035184236775211,-0.0079399516867540987,-0.0065330511424193105,-0.009468856020795724,0,0,-0.0010631415509357867,-0.00054975750719690188,0.0089946519451392648,0.0070749386255826163,-0.051470588235294157
2019-01-21,0.00073058808017445465,0.0067283358249066172,0.020516610049852169,0.010630328890095056,0.0065618710905628319,0.0039843317672334511,0.0059468674033387181,0,1,0.00016537953515305404,-0.00063626750125045373,0.0067283358249066172,0.010271777947789884,-0.014396456256921319
2019-01-22,-0.00087645619544973741,0.0062035141718956854,0.022966202259042667,0.010676387474482872,0.0054689305562454216,0.0030554220813499011,-0.0018012183955862238,0,0,0.00073058808017445465,-0.00049404463185147578,0.0062035141718956854,0.010271777947789884,-0.014396456256921319
2019-01-23,-0.0027176746611053959,-0.01115118654553815,0.018907516523602341,0.010874037461632969,-0.010283743600879802,-0.0015183723048891595,-0.0039985459832788672,0,0,-0.00087645619544973741,-0.00020614214147010034,0.01115118654553815,0.010271777947789884,-0.014396456256921319
2019-01-24,0.0009241442445988568,0.0014055439694127259,0.011265115217887312,0.010712179414699307,0.0041344547333843629,0.0039201423447241535,0.0027670520671314591,0,0,-0.0027176746611053959,-0.00075226095843268222,0.0014055439694127259,0.00077061575189896203,-0.061538461538461542
2019-01-25,-0.00036455805425217314,0.0056576718073093613,0.026830608113196597,0.010488124819500053,0.0047291571393583975,-0.0020558413880696902,-0.003236002408187888,0,0,0.0009241442445988568,-0.00035480379932575359,0.0056576718073093613,0.0067878680913264766,-0.032274590163934413
2019-01-28,0.004663689197342169,-0.0059990292832875491,0.025239737456891564,0.010538822648259014,-0.0056365260700121933,-0.0085803667095541991,-0.0073138312196111555,0,1,-0.00036455805425217314,-0.00046079131720679902,0.0059990292832875491,0.012921540519067021,-0.077818951826363114
2019-01-29,-0.0027546823035181633,-0.0081468074671111612,0.032940458567344288,0.010034566936229308,-0.012751029824406124,-0.0011626585542823253,-0.0075739151582531195,0,0,0.004663689197342169,0.00032582890622674389,0.0081468074671111612,-0.011051158012857054,0.083237657864523529
2019-01-30,-0.0056235453948174641,-0.017580518116576127,0.013550728890614483,0.010920385553568076,-0.014866789093885058,-0.0013345047319313075,0.0012889500409207777,0,0,-0.0027546823035181633,-4.9816315386941314e-05,0.017580518116576127,-0.0080994343521016976,0.013778484366719468
2019-01-31,-0.0033980384975380584,-0.014901838509593368,0.0033140298466838303,0.011410953823035218,-0.0093307650958609489,-0.0065404985333291643,-0.013933351762513313,0,0,-0.0056235453948174641,-0.00063099046212935497,0.014901838509593368,0.022023849328926426,-0.076842655514897995
2019-02-01,0.0031062460110109491,-0.015238043561813686,-0.0048253770968228471,0.011821013589554922,-0.011880375036013135,-0.0012611092258164591,-0.012043984358697579,0,0,-0.0033980384975380584,-0.0014954270105567379,0.015238043561813686,0.013735055157397591,-0.061721404303510696
2019-02-11,0.0032433710536940996,0.029214324087296406,-0.0033126643826328905,0.01201807433050503,0.026027231093523451,0.0038784773617395185,0.0091823871054883544,1,0,0.0031062460110109491,-0.00080126619750411356,0.029214324087296406,0.0013514718694902506,-0.039706780696395882
2019-02-12,4.336673294691451e-06,0.028739747356117284,0.0038483723866222785,0.012795872271932426,0.025413949434467398,0.0046312331584095201,0.0070685189956893879,0,0,0.0032433710536940996,-0.0010853298262337274,0.028739747356117284,0.0013290948453041906,0.015903307888040619
2019-02-13,0.00083408365217430003,0.013868681195967847,0.019794854123091898,0.013135421630831427,0.013864284397801185,0.0045632767936749641,-0.0017421193650657418,0,0,4.336673294691451e-06,-0.00053352603087115642,0.013868681195967847,0.014603374430411042,-0.033813400125234927
2019-02-14,-0.00027732082868503483,0.017973433366340164,0.035930215855521697,0.013670096933293524,0.017125065976592468,-0.00022054746181376927,0.0055306159094989926,0,0,0.00083408365217430003,0.00075799977852719636,0.017973433366340164,0.00077684358739893433,0.014257939079714843
2019-02-15,-0.0014769750880746502,0.0042459499603977324,0.043112026675512061,0.013637080254765788,0.0045245255342534207,0.0008060818351030008,0.0037166602972487084,0,0,-0.00027732082868503483,0.0013821433122978011,0.0042459499603977324,0.00088539940003062867,0.03642172523961662
