trading_day,close_0935,close_0950,close_1005,close_1035
2020-01-02,5589.1800000000003,5614.9700000000003,5633.6199999999999,5651.3299999999999
2020-01-03,5690.8699999999999,5692.46,5693.71,5705.04
2020-01-06,5688.79,5726.5799999999999,5734.8900000000003,5757.0299999999997
2020-01-07,5780.0900000000001,5788.3500000000004,5794.9700000000003,5799.0900000000001
2020-01-08,5835.3699999999999,5831.8900000000003,5842.7600000000002,5830.96
2020-01-09,5820.8100000000004,5841.2799999999997,5849.5,5842.9899999999998
2020-01-10,5872.4200000000001,5868.9499999999998,5851.8900000000003,5851.3500000000004
2020-01-13,5841.46,5832.9700000000003,5826.8699999999999,5860.7399999999998
2020-01-14,5939.7700000000004,5931.6099999999997,5928.3400000000001,5944.0600000000004
2020-01-15,5903.7799999999997,5892.3500000000004,5874.5699999999997,5880.21
2020-01-16,5909.5,5919.3800000000001,5925.8000000000002,5914.9200000000001
2020-01-17,5918.5699999999997,5907.54,5916.9300000000003,5918.8400000000001
2020-01-20,5883.4700000000003,5882.6400000000003,5891.79,5889.4399999999996
2020-01-21,5943.8999999999996,5939.9499999999998,5942.5699999999997,5921.5600000000004
2020-01-22,5826.29,5791.21,5815.3100000000004,5837.1099999999997
2020-01-23,5867.6899999999996,5888.2200000000003,5895.5600000000004,5863.1199999999999
2020-02-03,5181.5,5203.1499999999996,5226.1899999999996,5213.1599999999999
2020-02-04,5079.7299999999996,5120.3999999999996,5155.6700000000001,5178.8599999999997
2020-02-05,5261.3199999999997,5334.6999999999998,5347.4899999999998,5392.8900000000003
2020-02-06,5330.6400000000003,5378.8599999999997,5400,5429.54
2020-02-07,5538.2700000000004,5562.0100000000002,5546.6999999999998,5565.5900000000001
2020-02-10,5601.6700000000001,5623.8800000000001,5606.1300000000001,5627.3500000000004
2020-02-11,5618.5900000000001,5604.8800000000001,5622.7799999999997,5632.54
2020-02-12,5631.3500000000004,5636.5299999999997,5654.4099999999999,5669.1899999999996
2020-02-13,5765.5299999999997,5764.04,5701.2399999999998,5751.3699999999999
2020-02-14,5707.4200000000001,5715.3100000000004,5723.8500000000004,5754.4099999999999
2020-02-17,5799.4700000000003,5812.3699999999999,5833.1499999999996,5847.3299999999999
2020-02-18,5967.6400000000003,5969.4499999999998,6011.8900000000003,5989.1999999999998
2020-02-19,6064.1599999999999,6071.79,6052.4799999999996,6067.79
